file,pidlink,nrow
ba_chkid.dta,TRUE,1730
buk1cp1.dta,FALSE,7216
buk1kr1.dta,FALSE,7216
buk1ks1.dta,FALSE,106090
buk1ks2a.dta,FALSE,7216
buk1ks2b.dta,FALSE,50512
buk1ks3a.dta,FALSE,43296
buk1ks3b.dta,FALSE,7216
buk1ks4.dta,FALSE,108240
buk1pp1.dta,FALSE,50512
buk2ak1.dta,FALSE,9072
buk2ak2.dta,FALSE,1000
buk2ak3.dta,FALSE,7256
buk2ak4.dta,FALSE,77
buk2ak5.dta,FALSE,7863
buk2ak6.dta,FALSE,524
buk2ak7.dta,FALSE,7991
buk2ak8.dta,FALSE,524
buk2cp2.dta,FALSE,7184
buk2ge1.dta,FALSE,43110
buk2hr1.dta,FALSE,79035
buk2hr2.dta,FALSE,7185
buk2nt1.dta,FALSE,7185
buk2nt2.dta,FALSE,22005
buk2ph1.dta,FALSE,10211
buk2ph2.dta,FALSE,43110
buk2ut1.dta,FALSE,7185
buk2ut2.dta,FALSE,25272
buk3aw1.dta,TRUE,14418
buk3ba1.dta,TRUE,25970
buk3ba3.dta,TRUE,12459
buk3ba4.dta,TRUE,44995
buk3ba5.dta,TRUE,11241
buk3ba7a.dta,TRUE,12459
buk3ba7b.dta,TRUE,12459
buk3ba8.dta,TRUE,10100
buk3ba9.dta,TRUE,3776
buk3bab.dta,TRUE,3432
buk3br1.dta,TRUE,2664
buk3cp3.dta,TRUE,14405
buk3dl1.dta,TRUE,14418
buk3dl2.dta,TRUE,13355
buk3dl3.dta,TRUE,7778
buk3hi1.dta,TRUE,73993
buk3hi2.dta,TRUE,30570
buk3kk1.dta,TRUE,12985
buk3kk2.dta,TRUE,12985
buk3km1.dta,TRUE,14406
buk3kw1.dta,TRUE,14418
buk3kw2.dta,TRUE,10516
buk3kw3.dta,TRUE,7572
buk3ma1.dta,TRUE,172872
buk3mg1.dta,TRUE,12996
buk3mg2.dta,TRUE,15376
buk3mg3.dta,TRUE,6945
buk3ps1.dta,TRUE,12989
buk3rj1.dta,TRUE,14406
buk3rj2.dta,TRUE,4685
buk3rn1.dta,TRUE,14406
buk3rn2.dta,TRUE,410
buk3s3a.dta,TRUE,14418
buk3sr1.dta,TRUE,14418
buk3sr2.dta,TRUE,1788
buk3tf1.dta,TRUE,38955
buk3tf3.dta,TRUE,51940
buk3tk1.dta,TRUE,14418
buk3tk2.dta,TRUE,9762
buk3tk3.dta,TRUE,52934
buk3tk5.dta,TRUE,19551
buk4br1.dta,TRUE,4980
buk4ch1.dta,TRUE,17962
buk4cp4.dta,TRUE,4981
buk4cx1.dta,TRUE,39120
buk4cx2.dta,TRUE,24450
buk4cx3.dta,TRUE,4890
buk4kl1.dta,TRUE,4966
buk4kl2.dta,TRUE,44007
buk4kl4a.dta,TRUE,16353
buk4kl4b.dta,TRUE,4890
buk4kw1.dta,TRUE,4981
buk4kw2.dta,TRUE,5776
buk4kw3.dta,TRUE,4889
buk4siv.dta,TRUE,4981
buk5cp5.dta,TRUE,7751
buk5dl1.dta,TRUE,8563
buk5dl2.dta,TRUE,4668
buk5ma1.dta,TRUE,116265
buk5psa.dta,TRUE,7751
buk5rj1.dta,TRUE,7751
buk5rj2.dta,TRUE,2259
buk5rn1.dta,TRUE,7751
buk5rn2.dta,TRUE,100
buk5se5.dta,TRUE,7751
bukcca1.dta,FALSE,7164
bukcca2.dta,TRUE,24515
bukkar1.dta,FALSE,7224
bukkar2.dta,TRUE,33081
bukkfp1.dta,FALSE,7730
bukkpsk.dta,FALSE,33157
bukksc1.dta,FALSE,7730
expend2.dta,FALSE,7216
hhldwt.dta,FALSE,7730
indivwt.dta,TRUE,33081
kab.dta,FALSE,301
kec.dta,FALSE,3809
othtrans.dta,TRUE,96497
priceidx.dta,FALSE,27
prov.dta,FALSE,27
rnd2_eas.dta,FALSE,32
